date,location,plant_id,height_cm,short_stems,ft_stems,vigor,notes,inflorescences,fruits,avg_height,avg_width,zone,maternal_accession,lineage
2/21/20,Plover Area,806,41,10+,10,1,,,,,,Slope,B227,5
2/21/20,Plover Area,807,39,10+,6,1,,,,,,Ridge,A3003,8
2/21/20,Plover Area,808,41,10+,3,1,,,,,,Slope,A3003,8
2/21/20,Plover Area,809,34,8,9,1,,,,,,Ridge,B29R,9
2/21/20,Plover Area,810,43,10+,7,1,,,,,,Ridge,A3051,7
2/21/20,Plover Area,811,49,10+,3,1,,,,,,Slope,A3051,7
2/21/20,Plover Area,812,52,7,3,1,,,,,,Ridge,B29R,9
2/21/20,Plover Area,813,26,10+,3,1,,,,,,Slope,B29R,9
2/21/20,Plover Area,814,24,10+,3,1,,,,,,Slope,A3002,10
2/21/20,Plover Area,815,39,8,3,1,,,,,,Slope,B29R,9
2/21/20,Plover Area,816,43,10+,1,1,,,,,,Ridge,A3051,7
2/21/20,Plover Area,817,22,8,1,1,,,,,,Slope,A3003,8
2/21/20,Plover Area,818,44,8,2,1,,,,,,Slope,B29R,9
2/21/20,Plover Area,819,58,10+,3,1,,,,,,Slope,A3003,8
2/21/20,Plover Area,820,21,10+,3,1,,,,,,Slope,A3003,8
2/21/20,Plover Area,821,74,6,3,3,,,,,,Swale,B29R,9
2/21/20,Plover Area,822,X,X,X,4,,,,,,Swale,B29R,9
2/21/20,Plover Area,901,34,8,1,1,,,,,,Slope,A3002,10
2/21/20,Plover Area,902,11,5,1,1,,,,,,Slope,B29R,9
2/21/20,Plover Area,903,38,6,2,1,,,,,,Slope,A3003,8
2/21/20,Plover Area,904,X,X,X,4,submerged,,,,,Swale,A3003,8
2/21/20,Plover Area,905,81,10+,1,1,,,,,,Slope,A3041,12
2/21/20,Plover Area,906,X,X,X,4,submerged,,,,,Swale,A3051,11
2/21/20,Plover Area,907,X,X,X,4,submerged,,,,,Swale,A3041,12
2/21/20,Plover Area,908,22,6,3,1,,,,,,Swale,A3041,12
2/21/20,Plover Area,909,37,10+,3,1,,,,,,Slope,A3041,12
2/21/20,Plover Area,910,70,10+,1,1,,,,,,Slope,A3051,11
2/21/20,Plover Area,911,55,7,2,1,,,,,,Slope,A3051,11
2/21/20,Plover Area,912,13,6,3,1,,,,,,Swale,A3041,12
2/21/20,Plover Area,913,49,10,1,1,,,,,,Slope,A3051,11
2/21/20,Plover Area,914,71,8,2,1,,,,,,Slope,A3041,12
2/21/20,Plover Area,1001,37,10+,5,1,,,,,,Slope,B4001,15
2/21/20,Plover Area,1002,62,10+,3,1,,,,,,Slope,A3041,12
2/21/20,Plover Area,1003,15,10+,2,1,,,,,,Slope,A3003,16
2/21/20,Plover Area,1004,81,10+,2,1,,,,,,Slope,B4001,15
2/21/20,Plover Area,1005,71,10+,6,1,,,,,,Ridge,B4001,15
2/21/20,Plover Area,1006,48,10+,2,1,,,,,,Slope,A3041,12
2/21/20,Plover Area,1007,31,10+,2,1,,,,,,Ridge,A3003,16
2/21/20,Plover Area,1008,27,10+,2,1,,,,,,Slope,B4001,15
2/21/20,Plover Area,1009,11,10+,1,1,,,,,,Ridge,A2051,13
2/21/20,Plover Area,1010,22,10+,1,1,,,,,,Slope,A3041,12
2/21/20,Plover Area,1011,54,10+,1,1,,,,,,Ridge,A3041,12
2/21/20,Plover Area,1012,13,8,2,1,,,,,,Slope,A3015,14
2/21/20,Plover Area,1013,12,10+,2,1,,,,,,Ridge,A3041,12
2/21/20,Plover Area,1014,12,7,1,1,,,,,,Ridge,A3041,12
2/21/20,Plover Area,1015,13,8,1,1,,,,,,Ridge,A3041,12
2/21/20,Plover Area,1016,13,8,3,1,,,,,,Slope,A3041,12
2/21/20,Plover Area,1017,21,6,1,1,,,,,,Ridge,A3015,14
2/21/20,Plover Area,1018,69,3,1,1,,,,,,Ridge,A2051,13
2/21/20,Plover Area,1019,73,8,3,1,,,,,,Ridge,B4001,15
2/21/20,Plover Area,1020,8,8,1,1,,,,,,Ridge,A3041,12
2/21/20,EEM Willows,1101,62,10+,1,2,major herbivory,,,,,Slope,A2051,13
2/21/20,EEM Willows,1102,74,6,1,2,major herbivory,,,,,Slope,A2051,13
2/21/20,EEM Willows,1103,28,6,2,2,major herbivory,,,,,Ridge,A2051,13
2/21/20,EEM Willows,1104,31,5,1,2,major herbivory,,,,,Slope,B4001,15
2/21/20,EEM Willows,1105,21,1,1,2,major herbivory,,,,,Slope,A3041,12
2/21/20,EEM Willows,1106,67,7,1,2,major herbivory,,,,,Ridge,B4001,15
4/20/20,Plover Area,101,,,,2,,,,,,Ridge,A3002,4
4/20/20,Plover Area,102,,,,1,,,,,,Ridge,A3002,4
4/20/20,Plover Area,103,,,,2,,,,,,Slope,A2051,2
4/20/20,Plover Area,104,,,,2,,,,,,Slope,B4001,1
4/20/20,Plover Area,105,,,,3,flooded/buried,,,,,Swale,A2051,2
4/20/20,Plover Area,106,,,,2,,,,,,Swale,A3002,4
4/20/20,Plover Area,107,,,,1,,,,,,Swale,B4001,1
4/20/20,Plover Area,108,,,,3,flooded/buried,,,,,Slope,B4001,1
4/20/20,Plover Area,109,,,,2,,,,,,Slope,A3002,4
4/20/20,Plover Area,110,,,,4,flooded/buried,,,,,Swale,A3002,4
4/20/20,Plover Area,111,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,112,,,,1,,,,,,Slope,A3015,3
4/20/20,Plover Area,113,,,,1,,,,,,Slope,A3002,4
4/20/20,Plover Area,114,,,,2,,,,,,Swale,B4001,1
4/20/20,Plover Area,201,,,,1,,,,,,Slope,A2051,2
4/20/20,Plover Area,202,,,,1,,,,,,Slope,A3002,4
4/20/20,Plover Area,203,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,204,,,,1,,,,,,Slope,A3002,4
4/20/20,Plover Area,205,,,,1,,,,,,Swale,A3015,3
4/20/20,Plover Area,206,,,,1,,,,,,Slope,A3002,4
4/20/20,Plover Area,207,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,208,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,209,,,,1,,,,,,Slope,A3015,3
4/20/20,Plover Area,210,,,,4,flooded/buried,,,,,Swale,A3002,4
4/20/20,Plover Area,211,,,,3,flooded/buried,,,,,Slope,B227,5
4/20/20,Plover Area,212,,,,1,,,,,,Slope,B227,5
4/20/20,Plover Area,213,,,,2,,,,,,Ridge,A3002,4
4/20/20,Plover Area,214,,,,4,flooded/buried,,,,,Slope,B227,5
4/20/20,Plover Area,215,,,,1,,,,,,Slope,A3002,4
4/20/20,Plover Area,216,,,,1,,,,,,Slope,A3015,3
4/20/20,Plover Area,217,,,,1,,,,,,Ridge,A2051,2
4/20/20,Plover Area,218,,,,1,,,,,,Ridge,,
4/20/20,Plover Area,219,,,,4,,,,,,Ridge,B4001,1
4/20/20,Plover Area,220,,,,1,,,,,,Ridge,A3015,3
4/20/20,Plover Area,221,,,,1,,,,,,Slope,A3015,3
4/20/20,Plover Area,222,,,,1,,,,,,Ridge,A2051,2
4/20/20,Plover Area,223,,,,1,,,,,,Ridge,A2051,2
4/20/20,Plover Area,224,,,,1,,,,,,Ridge,A2051,2
4/20/20,Plover Area,225,,,,2,,,,,,Ridge,A3051,7
4/20/20,Plover Area,226,,,,1,,,,,,Ridge,B29R,9
4/20/20,Plover Area,301,,,,1,,,,,,Slope,A2051,2
4/20/20,Plover Area,302,,,,1,,,,,,Slope,A3003,16
4/20/20,Plover Area,303,,,,1,,,,,,Ridge,B4001,15
4/20/20,Plover Area,304,,,,1,,,,,,Ridge,A3002,4
4/20/20,Plover Area,305,,,,1,Resprouting ,,,,,Swale,B227,17
4/20/20,Plover Area,306,,,,1,,,,,,Slope,A3002,4
4/20/20,Plover Area,307,,,,1,Resprouting,,,,,Swale,B227,17
4/20/20,Plover Area,308,,,,1,,,,,,Ridge,B227,17
4/20/20,Plover Area,309,,,,1,Resprouting ,,,,,Ridge,A3002,4
4/20/20,Plover Area,310,,,,1,,,,,,Ridge,B4001,15
4/20/20,Plover Area,311,,,,1,,,,,,Slope,A3015,3
4/20/20,Plover Area,312,,,,1,,,,,,Ridge,A3003,16
4/20/20,Plover Area,313,,,,1,,,,,,Slope,A3015,3
4/20/20,Plover Area,314,,,,1,,,,,,Ridge,B227,17
4/20/20,Plover Area,315,,,,1,,,,,,Slope,A3002,4
4/20/20,Plover Area,316,,,,2,,,,,,Slope,A2051,2
4/20/20,Plover Area,317,,,,1,,,,,,Ridge,B227,5
4/20/20,Plover Area,318,,,,1,,,,,,Ridge,A3003,16
4/20/20,Plover Area,319,,,,1,,,,,,Ridge,A3003,16
