Sample ID,Maternal Line,Salinity ,Rhizobia (+/-),Germinated before planting,Germination Date,Date of planting,Soil Type,Soil autoclave,"Germinated 
after planting",N added,"Yellow leaves 
4/9/20","Yellow/dead leaves 
4/13/20","Yellow/dead leaves
4/16/20","Yellow/dead leaves
4/20/20","Yellow/dead leaves
4/22/20","Yellow leaves 
(didn't water)
5/4/20","Yellow leaves
5/6/20",Date,Category,"Total # of
leaves","Healthy leaves 
(# leaf - # leaf)",# weeds,"Small plants: 
notes","4th leaf:
state","4th leaf -
length (cm)","4th leaf:
# of leaflets","5th leaf:
state","5th leaf:
length (cm)","5th leaf:
# of leaflets","6th leaf:
state","6th leaf:
length (cm)","6th leaf:
# of leaflets","7th leaf:
state","7th leaf:
length (cm)","7th leaf:
# of leaflets","8th leaf:
state","8th leaf:
length (cm)","8th leaf:
# of leaflets","9th leaf:
state","9th leaf:
length (cm)","9th leaf:
# of leaflets",,,
59,A2,100,-,Y,2/10/20,2/8/20,EEM,-,,4/22/20,,,"2/10 yellow, 4/10 dead","2/11 yellow, 4/11 dead","1/11 yellow, 5/11 dead",,,5/29/20,2 plants,"(1) 8
(2) 7","(1) 6-8
(2) 5-7",0,,"(1) dead
(2) dead","(1) na
(2) na","(1) na
(2) na","(1) dead
(2) yellow-green","(1) na
(2) 4.8","(1) na
(2) 19","(1) green
(2) green","(1) 5.9
(2) 4.1","(1) 21
(2) 21",(1) green,(1) 5.8,(1) 27,,,,,,,,,
60,A2,100,-,Y,2/14/20,2/8/20,EEM,-,,5/8/20,,,,,,,,5/29/20,small plant,4,1-4,0,,,,,,,,,,,,,,,,,,,,,,
61,B,100,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,,2/6 yellow,"1/6 yellow, 2/6 dead","1/7 yellow, 2/7 dead",,,5/29/20,big plant,9,7-9,0,,dead,na,na,yellow,5.9,18,yellow,6.2,23,green,6.3,27,green 6,6,29,,,,,,
62,A2,100,R,N,did not germinate,2/8/20,potting soil,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
63,B,0,R,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,,"1/6 yellow, 1/6 dead",2/6 dead,2/7 dead,,,5/29/20,big plant,7,5-7,0,,dead,na,na,green,5.3,23,green,5.4,27,,,,,,,,,,,,
64,B,1,-,Y,2/14/20,2/8/20,potting soil,-,,4/22/20,,,2/5 yellow,"1/6 yellow, 1/6 dead",2/6 dead,1 yellow,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,green,5.5,24,green,5.8,29,,,,,,,,,
65,B,50,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,2/6 dead,2/6 dead,2/6 dead,"1/7 yellow, 2/7 dead",,,5/29/20,big plant,9,7-9,0,,dead,na,na,dead,na,na,dead,na,na,green,6.4,33,green,6.3,31,,,,,,
66,A2,0,-,Y,2/10/20,2/8/20,potting soil,-,,4/22/20,,2/5 dead,2/5 dead,"1/5 yellow, 2/5 dead","1/5 yellow, 2/5 dead",,,5/29/20,big plant,8,5-8,0,,dead,na,na,yellow-green,7.4,19,green,7.8,27,green,6.7,31,,,,,,,,,
67,B,100,-,Y,2/14/20,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,big plant,8,6-8,0,,dead,na,na,dead,na,na,yellow,6.9,21,green,5.2,25,,,,,,,,,
68,A2,100,R,N,did not germinate,2/8/20,plover,-,,5/8/20,,,,,,,,5/29/20,thrown out,,,0,,,,,,,,,,,,,,,,,,,,,,
